Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
62,DOMAINE1,145.490000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
63,DOMAINE2,144.830000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
64,VAL DOR,146.760000,-,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,S,,,,,
65,SENNETER,145.110000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
66,V-MARIE,146.730000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
67,AMOS 1,147.150000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
68,AMOS 2,147.300000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
69,ROUYN 1,146.820000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
70,ROUYN 2,147.090000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
71,Mt-Rouge,146.700000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,,,,,
72,ARES-Mon,145.190000,+,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
73,Simplex,146.595000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
74,St-Josep,145.130000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
75,Montreal,145.370000,-,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,,,,,,
76,MtRoyale,147.375000,+,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,,,,,
78,MARINE16,156.800000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
79,MARINA68,156.425000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
80,MARINE15,156.750000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
81,MARINE42,156.325000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
82,MARINE64,156.225000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
83,MARINE69,156.475000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
84,MARINE70,156.525000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
85,MARINA71,156.575000,,0.600000,,100.0,100.0,023,NN,FM,12.50,,,,,,
86,METEO 1,162.400000,split,0.000086,,110.9,110.9,023,NN,FM,5.00,S,,,,,
87,METEO 2,162.550000,split,0.000087,,110.9,110.9,023,NN,FM,5.00,S,,,,,
